,pop,emp,unemp,seed,count,rate,components
264,7113,3473,143,0.0,1,0.03954646017699115,49035113521
265,3672,2176,55,0.0,1,0.024652622142536978,49035113522
266,6727,3829,111,0.0,1,0.02817258883248731,49035113523
267,7631,4579,103,0.0,1,0.021999145664246048,49035113525
268,5855,3029,70,0.0,1,0.022587931590835754,49035113526
269,4680,2348,50,0.0,1,0.020850708924103418,49035113527
270,5767,2994,133,0.0,1,0.042532779021426284,49035113528
271,3439,1999,62,0.0,1,0.030082484230955848,49035113532
272,5250,2403,115,0.0,1,0.04567116759332804,49035113533
273,8199,4016,78,0.0,1,0.019052271617000488,49035113534
274,7399,4107,63,0.0,1,0.015107913669064749,49035113535
275,4565,2110,90,0.0,1,0.04090909090909091,49035113536
276,3793,2027,73,0.0,1,0.034761904761904765,49035113537
277,3571,1905,38,0.0,1,0.0195573854863613,49035113538
278,5066,2488,99,0.0,1,0.038268264398917666,49035113539
279,5857,2902,174,0.0,1,0.056566970091027305,49035113600
280,4226,2538,59,0.0,1,0.022718521370812476,49035113701
281,2968,1618,60,0.0,1,0.03575685339690107,49035113702
282,6150,2790,165,0.0,1,0.05583756345177665,49035113801
283,4319,1930,91,0.0,1,0.0450272142503711,49035113802
284,9063,5638,126,0.0,1,0.021859819569743234,49035113803
285,5380,2619,110,0.0,1,0.04030780505679736,49035113903
286,6168,2684,129,0.0,1,0.0458585140419481,49035113904
287,8118,4286,106,0.0,1,0.02413479052823315,49035113905
288,7063,3971,133,0.0,1,0.032407407407407406,49035113907
289,1641,1391,39,0.0,1,0.02727272727272727,49035114000
290,2467,1568,46,0.0,1,0.028500619578686492,49035114100
291,4742,2622,46,0.0,1,0.017241379310344827,49035114200
292,17241,9833,312,0.0,1,0.03075406604238541,49035114300
293,7857,4324,88,0.0,1,0.019945602901178604,49035114600
294,5084,2798,39,0.0,1,0.013746915756080367,49035114700
295,3973,2055,23,0.0,1,0.011068334937439845,49035114800
296,8072,3905,95,0.0,1,0.02375,49035115106
297,6846,3707,165,0.0,1,0.04261363636363636,49035115209
298,0,0,0,0.0,1,,49035980000
299,4212,1392,55,0.0,1,0.03800967519004837,49037942100
300,8137,3231,134,0.0,1,0.03982169390787518,49039972100
301,3996,1689,25,0.0,1,0.014585764294049008,49039972200
302,5488,1675,41,0.0,1,0.023892773892773892,49039972300
303,4792,1859,42,0.0,1,0.022093634928984744,49039972500
304,4532,2257,70,0.0,1,0.030081650193382038,49041975100
305,2284,1162,28,0.0,1,0.023529411764705882,49043964101
306,4006,2033,70,0.0,1,0.033285782215882076,49043964201
307,3240,1703,118,0.0,1,0.06479956068094453,49043964303
308,5062,3338,38,0.0,1,0.011255924170616114,49043964304
309,1676,1796,109,0.0,1,0.05721784776902887,49043964305
310,2695,1796,27,0.0,1,0.014810751508502468,49043964306
311,5602,2892,43,0.0,1,0.01465076660988075,49043964307
312,3116,1646,8,0.0,1,0.0048367593712212815,49043964308
313,1479,1135,39,0.0,1,0.03321976149914821,49043964401
314,3933,2405,38,0.0,1,0.015554645927138764,49043964402
315,2704,1241,37,0.0,1,0.028951486697965573,49045130600
316,3513,1818,48,0.0,1,0.02572347266881029,49045130701
317,15039,8035,236,0.0,1,0.02853343005682505,49045130702
318,7460,3598,76,0.0,1,0.020685900925421885,49045130703
319,5738,2414,128,0.0,1,0.05035405192761605,49045130800
320,4866,2113,61,0.0,1,0.028058877644894203,49045130900
321,2818,1514,72,0.0,1,0.04539722572509458,49045131001
322,8586,4091,190,0.0,1,0.04438215370240598,49045131002
323,7987,4053,205,0.0,1,0.04814466885861907,49045131100
324,3515,1393,75,0.0,1,0.05108991825613079,49045131200
325,0,0,0,0.0,1,,49045980000
326,6416,2432,74,0.0,1,0.029529130087789304,49047968402
327,5060,2276,63,0.0,1,0.026934587430525864,49049000102
328,4274,1923,75,0.0,1,0.03753753753753754,49049000103
329,3547,1495,32,0.0,1,0.020956123117223315,49049000104
330,4652,1739,82,0.0,1,0.04503020318506315,49049000105
331,4959,2179,101,0.0,1,0.04429824561403509,49049000203
332,6408,2964,78,0.0,1,0.02564102564102564,49049000204
333,4104,1787,54,0.0,1,0.02933188484519283,49049000205
334,3907,1699,46,0.0,1,0.026361031518624643,49049000206
335,4056,1871,100,0.0,1,0.050735667174023336,49049000400
336,4426,2163,54,0.0,1,0.02435723951285521,49049000504
337,4049,2137,77,0.0,1,0.03477868112014453,49049000506
338,2398,1109,25,0.0,1,0.02204585537918871,49049000507
339,5809,2631,73,0.0,1,0.026997041420118342,49049000508
340,7205,3270,65,0.0,1,0.019490254872563718,49049000509
341,3458,1496,36,0.0,1,0.02349869451697128,49049000601
342,4623,2105,54,0.0,1,0.025011579434923575,49049000603
343,3343,1658,42,0.0,1,0.024705882352941175,49049000604
344,6065,2792,120,0.0,1,0.04120879120879121,49049000703
345,6376,3358,72,0.0,1,0.02099125364431487,49049000706
346,3864,1982,57,0.0,1,0.027954879843060325,49049000707
347,3298,1545,52,0.0,1,0.03256105197244834,49049000708
348,3196,1442,32,0.0,1,0.021709633649932156,49049000709
349,3368,1374,52,0.0,1,0.0364656381486676,49049000710
350,2647,1022,15,0.0,1,0.01446480231436837,49049000711
351,6227,2868,107,0.0,1,0.03596638655462185,49049000801
352,5899,2617,145,0.0,1,0.05249818971759594,49049000802
353,6482,2669,93,0.0,1,0.03367125271542361,49049000901
354,4024,1782,36,0.0,1,0.019801980198019802,49049000903
355,3407,1499,29,0.0,1,0.018979057591623036,49049000904
356,4244,1747,58,0.0,1,0.03213296398891967,49049001001
357,2875,973,65,0.0,1,0.0626204238921002,49049001002
358,2865,1225,70,0.0,1,0.05405405405405406,49049001103
359,3806,2061,92,0.0,1,0.042731072921504874,49049001105
360,3430,1443,43,0.0,1,0.028936742934051143,49049001106
361,3896,1900,46,0.0,1,0.023638232271325797,49049001107
362,3477,1897,34,0.0,1,0.017607457276022784,49049001108
363,4766,2380,143,0.0,1,0.05667855727308759,49049001201
364,5322,3034,127,0.0,1,0.04017715912685859,49049001202
365,4005,2251,36,0.0,1,0.015741145605596852,49049001300
366,4053,1532,42,0.0,1,0.026683608640406607,49049001401
367,7679,4027,141,0.0,1,0.03382917466410749,49049001402
368,4304,2574,68,0.0,1,0.025738077214231644,49049001501
369,5044,2714,45,0.0,1,0.016310257339615802,49049001504
370,7129,2009,89,0.0,1,0.04242135367016206,49049001601
371,4738,2113,90,0.0,1,0.04085338175215615,49049001603
372,4028,2336,59,0.0,1,0.024634655532359082,49049001701
373,4994,3076,69,0.0,1,0.021939586645468998,49049001702
374,6620,5137,175,0.0,1,0.032944277108433735,49049001801
375,6988,4800,99,0.0,1,0.02020820575627679,49049001802
376,2306,1496,42,0.0,1,0.027308192457737322,49049001803
377,4874,3442,85,0.0,1,0.024099801531046215,49049001900
378,6569,4095,119,0.0,1,0.02823920265780731,49049002000
379,4273,2028,40,0.0,1,0.019342359767891684,49049002101
380,3467,1472,74,0.0,1,0.047865459249676584,49049002102
381,5470,5098,131,0.0,1,0.025052591317651557,49049002201
382,4048,1995,114,0.0,1,0.05405405405405406,49049002204
383,4808,2176,114,0.0,1,0.04978165938864629,49049002205
384,3753,1886,102,0.0,1,0.05130784708249497,49049002206
385,3883,1803,84,0.0,1,0.04451510333863275,49049002207
386,3956,2437,69,0.0,1,0.02753391859537111,49049002300
387,4757,3004,78,0.0,1,0.025308241401687217,49049002500
388,3665,1490,60,0.0,1,0.03870967741935484,49049002701
389,5096,3328,61,0.0,1,0.017999409855414577,49049002702
390,1665,969,31,0.0,1,0.031,49049002802
391,5455,2613,28,0.0,1,0.010602044680045438,49049002901
392,3980,1783,68,0.0,1,0.036736898973527825,49049002902
393,4688,2472,37,0.0,1,0.014746911119968115,49049003001
394,2468,1024,28,0.0,1,0.026615969581749048,49049003002
395,3145,1343,49,0.0,1,0.035201149425287355,49049003103
396,4422,1796,39,0.0,1,0.02125340599455041,49049003104
397,3948,2370,45,0.0,1,0.018633540372670808,49049003105
398,2913,1367,34,0.0,1,0.02426837972876517,49049003106
399,2917,1392,47,0.0,1,0.03266157053509382,49049003201
400,4683,2083,85,0.0,1,0.03920664206642067,49049003203
401,2943,1481,23,0.0,1,0.015292553191489361,49049003204
402,4621,2122,50,0.0,1,0.02302025782688766,49049003205
403,6670,3544,48,0.0,1,0.013363028953229399,49049003300
404,4195,1850,32,0.0,1,0.01700318809776833,49049003401
405,6699,3262,52,0.0,1,0.015691007845503924,49049003402
406,5724,2363,95,0.0,1,0.038649308380797394,49049003403
407,7283,2912,52,0.0,1,0.017543859649122806,49049010103
408,7503,3607,57,0.0,1,0.015556768558951965,49049010104
409,8128,4638,61,0.0,1,0.012981485422430303,49049010105
410,4522,2225,9,0.0,1,0.0040286481647269475,49049010106
